代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sz000659,珠海中富,3.11,0.00,0.00,0.00,0.91,0.91,3.21,36300500.0,1286000000.0,3999000000.0,亏损
sz000671,ST阳光城,--,--,--,--,--,--,--,,4058000000.0,1502000000.0,--
sz000692,*ST惠天,2.60,0.00,0.00,0.39,0.50,1.31,1.54,6955200.0,533000000.0,1385000000.0,亏损
sz000697,*ST炼石,6.34,0.00,0.00,0.00,0.61,0.69,2.52,22281200.0,577000000.0,3657000000.0,亏损
sz000702,正虹科技,6.00,0.00,0.00,0.17,1.55,0.85,1.83,24914400.0,267000000.0,1600000000.0,亏损
sz000709,河钢股份,2.33,0.00,0.00,0.00,0.47,0.85,2.15,112999999.99999999,10335000000.0,24081000000.0,23.63
sz000718,苏宁环球,3.06,0.00,0.00,0.00,0.72,0.89,2.29,50417100.0,2290000000.0,7006999999.999999,18.31
sz000757,浩物股份,4.11,0.00,0.00,0.00,0.66,0.46,1.22,13881199.999999998,511000000.00000006,2101000000.0000002,亏损
sz000767,晋控电力,3.22,0.00,0.00,0.00,0.57,0.71,1.86,53562299.99999999,2912000000.0,9377000000.0,亏损
sz000782,美达股份,5.15,0.00,0.00,0.00,1.02,1.73,2.33,27998000.0,528000000.0,2720000000.0,亏损
sz000791,甘肃能源,5.64,0.00,0.00,0.00,0.51,0.64,2.13,45902100.0,1601000000.0000002,9027000000.0,18.59
sz000825,太钢不锈,4.17,0.00,0.00,0.24,0.31,1.03,1.68,73242800.0,5696000000.0,23753000000.0,亏损
sz000861,海印股份,2.09,0.00,0.00,0.00,1.25,0.64,1.91,61659500.0,2368000000.0,4950000000.0,亏损
sz000882,华联股份,1.92,0.00,0.00,0.00,1.79,0.83,3.12,94000700.0,2737000000.0,5256000000.0,155.74
sz000883,湖北能源,4.52,0.00,0.00,-0.22,0.12,0.71,1.33,34560300.0,6480000000.0,29288000000.0,23.72
sz000890,法尔胜,4.56,0.00,0.00,0.00,8.98,0.70,5.04,174000000.0,420000000.0,1913000000.0,亏损
sz000897,津滨发展,2.66,0.00,0.00,0.38,1.99,0.53,2.26,85635400.00000001,1617000000.0000002,4302000000.0,亏损
sz000905,厦门港务,7.71,0.00,0.00,0.00,0.77,0.50,1.56,43672900.0,742000000.0,5719000000.0,18.61
sz000949,新乡化纤,3.35,0.0,0.0,0.0,0.52,0.94,1.79,24401100.0,1403000000.0,4701000000.0,70.47
sz000967,盈峰环境,4.88,0.0,0.0,0.21,0.2,0.76,1.84,30315200.0,3178000000.0,15509000000.0,24.81
sz000998,隆平高科,15.71,0.0,0.0,0.0,0.49,0.45,1.4,99495100.0,1296000000.0,20360000000.0,34.21
sz001208,华菱线缆,9.45,0.0,0.0,0.0,0.67,0.55,1.16,15716300.000000002,250000000.0,2359000000.0,68.13
sz001230,劲旅环境,24.37,0.0,0.0,0.08,0.66,0.7,1.44,6296300.0,39458400.0,961999999.9999999,21.20
sz001336,楚环科技,26.31,0.0,0.0,0.31,2.65,0.85,2.05,19826700.0,28557300.0,751000000.0,43.37
sz002088,鲁阳节能,18.32,0.0,0.0,0.0,0.24,0.92,2.46,20122000.0,451000000.0,8268000000.000001,23.52
sz002089,*ST新海,1.26,0.0,0.0,0.0,6.8,1.94,6.35,102000000.0,1189000000.0,1498000000.0,95.02
sz002091,江苏国泰,7.57,0.0,0.0,0.0,0.39,0.92,1.32,46762700.00000001,1597000000.0,12091000000.0,9.87
sz002094,青岛金王,3.79,0.0,0.0,0.0,0.9,0.82,1.85,23575000.0,690000000.0,2617000000.0,32.37
sz002097,山河智能,6.31,0.0,0.0,0.16,0.53,0.59,1.58,32491600.0,974000000.0,6147000000.0,56.95
sz002109,兴化股份,4.37,0.0,0.0,0.0,0.16,0.86,1.83,7210000.0,1052999999.9999999,4601000000.0,亏损
sz002226,江南化工,5.1,0.0,0.0,0.2,0.32,1.07,1.96,29225200.0,1782999999.9999998,9093000000.0,30.25
sz002244,滨江集团,10.0,0.0,0.0,-0.1,0.81,0.73,3.5,216000000.0,2682000000.0,26824000000.0,13.89
sz002299,圣农发展,20.52,0.0,0.0,0.1,0.31,0.71,2.24,79063100.0,1231000000.0,25256000000.0,29.92
sz002300,太阳电缆,8.21,0.0,0.0,0.49,0.96,1.34,2.07,56511500.0,722000000.0,5930000000.0,43.14
sz002320,海峡股份,6.17,0.0,0.0,0.16,0.35,1.15,2.27,48252700.00000001,2229000000.0,13753000000.0,21.81
sz002321,华英农业,2.58,0.0,0.0,0.39,0.38,0.56,1.55,21081800.0,2132999999.9999998,5503000000.0,286.93
sz002358,森源电气,4.49,0.0,0.0,0.0,0.43,0.43,1.34,17960000.0,928999999.9999999,4171000000.0,77.59
sz002440,闰土股份,7.1,0.0,0.0,0.0,0.42,1.17,1.41,28994300.0,963000000.0000001,6836000000.0,221.23
sz002479,富春环保,4.65,0.00,0.00,0.00,0.79,1.17,1.29,31546100.0,861000000.0,4002000000.0000005,29.46
sz002504,*ST弘高,--,--,--,--,--,--,--,,413999999.99999994,158000000.0,--
sz002533,金杯电工,7.60,0.00,0.00,0.13,1.94,0.62,2.10,92530000.0,627000000.0,4769000000.0,11.79
sz002592,ST八菱,4.95,0.00,0.00,-0.20,0.60,0.83,1.82,7886100.0,263000000.0,1300000000.0,36.52
sz002616,长青集团,5.83,0.00,0.00,-0.17,1.56,0.79,1.54,42704799.99999999,470000000.0,2741000000.0,67.17
sz002648,卫星化学,14.94,0.00,0.00,0.00,0.37,0.85,1.94,183000000.0,3365000000.0,50276000000.0,13.66
sz002678,珠江钢琴,5.88,0.00,0.00,0.34,0.17,0.97,1.53,13495600.0,1358000000.0,7983000000.0,65.13
sz002721,*ST金一,3.38,0.00,0.00,0.30,0.31,0.74,2.37,9964800.0,960000000.0,3245000000.0000005,亏损
sz002746,仙坛股份,8.26,0.00,0.00,0.00,0.70,0.75,1.82,40863500.0,710000000.0,5862000000.0,19.31
sz002876,三利谱,30.99,0.00,0.00,0.03,1.32,0.79,2.97,60433700.0,149000000.0,4610000000.0,110.22
sz002936,郑州银行,2.24,0.00,0.00,0.00,1.12,1.33,2.23,167000000.0,6693000000.000001,14993000000.0,4.29
sz002940,昂利康,18.56,0.00,0.00,0.22,0.69,0.75,2.53,23432500.0,185000000.0,3439000000.0,19.89
sz002958,青农商行,2.91,0.00,0.00,0.00,0.60,0.74,1.72,84942099.99999999,4892000000.0,14236000000.000002,4.07
sz002969,嘉美包装,4.03,0.00,0.00,-0.25,1.07,1.19,1.24,22751700.0,528000000.0,2130000000.0,40.69
sz002972,科安达,11.69,0.00,0.00,0.00,1.36,1.07,2.05,19872200.0,124000000.0,1451000000.0,27.77
sz002980,华盛昌,31.12,0.00,0.00,-0.03,0.18,0.49,1.54,7264400.000000001,133000000.0,4149000000.0,50.37
sz003011,海象新材,25.29,0.00,0.00,-0.04,5.43,0.60,1.15,76058100.0,55280200.00000001,1398000000.0,9.65
sz003037,三和管桩,12.90,0.00,0.00,0.08,2.77,0.41,1.94,32349400.0,91021600.0,1174000000.0,79.95
sz300022,吉峰科技,4.92,0.00,0.00,0.00,1.75,1.07,3.05,28101900.0,323000000.0,1592000000.0,449.63
sz300111,向日葵,3.12,0.00,0.00,0.65,1.15,0.87,2.88,39929200.0,1120000000.0,3494000000.0,亏损
