股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
创益通,7.63%,15.81%,0.4825690298507464
炬申股份,2.3%,4.77%,0.4823333333333337
杰美特,2.51%,5.22%,0.4810373626373626
豪鹏科技,1.45%,3.02%,0.4808321678321679
天普股份,2.87%,5.99%,0.47904574468085126
博士眼镜,1.01%,2.12%,0.4773795918367362
长青股份,1.68%,3.52%,0.4766999999999996
新元科技,1.03%,-2.17%,0.4755913043478288
康为世纪,1.74%,3.68%,0.47312181818181764
鸿铭股份,2.27%,4.82%,0.4705329479768775
好想你,2.96%,6.29%,0.4705166666666671
鼎际得,2.76%,5.88%,0.46949466192170775
泰山石油,1.08%,2.3%,0.4685538461538465
宁波方正,3.34%,7.17%,0.4660319248826285
共创草坪,4.88%,10.51%,0.46444869565217384
湖南裕能,8.49%,18.33%,0.46323421750663135
名雕股份,1.53%,3.31%,0.46273170731707297
富临运业,1.6%,3.46%,0.4626086956521749
深城交,3.07%,6.84%,0.4489875000000004
冠石科技,1.94%,-4.32%,0.4485891625615761
实朴检测,1.06%,2.36%,0.4484388888888896
华体科技,1.01%,-2.26%,0.44623636363636354
中晶科技,1.6%,3.6%,0.44491428571428615
四方新材,1.67%,3.75%,0.44482727272727357
金春股份,3.24%,7.32%,0.4426258064516135
泰坦股份,2.69%,6.17%,0.43578000000000056
奇德新材,2.19%,5.04%,0.4347475247524762
和远气体,2.04%,4.7%,0.43445084745762713
四川美丰,1.23%,2.84%,0.43370869565217307
新风光,5.6%,13.02%,0.4301130221130225
华达新材,1.25%,2.92%,0.42840909090909135
中润光学,4.88%,11.46%,0.4257105691056905
中兰环保,1.16%,2.73%,0.42434418604651186
联科科技,1.18%,2.79%,0.4235173913043502
福立旺,4.65%,11.03%,0.4217489082969434
欧圣电气,1.2%,-2.85%,0.4206923076923081
百洋股份,1.37%,3.27%,0.41921999999999965
美思德,1.1%,2.63%,0.4187096774193566
邦基科技,1.13%,2.71%,0.41681590909090793
包钢股份,1.17%,2.81%,0.41651999999999967
地铁设计,3.28%,7.94%,0.41304571428571357
三友联众,2.05%,5.02%,0.40813636363636285
宏力达,1.05%,2.58%,0.40646666666666736
泉为科技,1.21%,3.01%,0.4021139534883707
益客食品,1.14%,2.84%,0.4019162790697677
安记食品,2.0%,4.98%,0.4017391304347834
友邦吊顶,2.15%,5.45%,0.39469753086419723
东宏股份,1.24%,3.17%,0.3916585365853657
东亚药业,2.86%,7.34%,0.38941242937853116
利民股份,1.35%,3.47%,0.38896875000000186
蠡湖股份,1.21%,3.13%,0.38646666666666657
徕木股份,1.44%,3.77%,0.38174693877551
