代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sh600956,新天绿能,8.85,0.5700000000000001,-1472007,-7.8,-497386,-2.63,-974621,-5.16,715778,3.79,756229,4.0,1689750123,1
sz003007,直真科技,24.9,-0.76,-1474895,-5.23,0,0.0,-1474895,-5.23,2665950,9.46,-1191055,-4.22,1689750102,0
sz300758,七彩化学,9.92,-1.0,-1477148,-4.91,0,0.0,-1477148,-4.91,884957,2.94,592192,1.97,1689750117,0
sh603360,百傲化学,11.29,0.44,-1478709,-3.93,-1046609,-2.79,-432100,-1.15,-2211560,-5.88,3690268,9.82,1689750126,1
sz301298,东利机械,16.62,-1.13,-1480303,-3.51,54780,0.13,-1535083,-3.64,-1703517,-4.04,3183820,7.5600000000000005,1689750090,0
sz300448,浩云科技,5.96,-0.17,-1480399,-3.99,-3034332,-8.17,1553933,4.18,-264570,-0.71,1744969,4.7,1689750087,0
sz000666,经纬纺机,9.52,0.11,-1482102,-4.93,-3951457,-13.13,2469355,8.21,-3439407,-11.43,4921509,16.36,1689750105,0
sh600990,四创电子,23.9,-1.28,-1483742,-4.49,-186868,-0.5700000000000001,-1296874,-3.93,3381565,10.24,-1897821,-5.75,1689750117,1
sz300371,汇中股份,14.7,-0.61,-1484914,-1.83,-2163292,-2.67,678378,0.84,7813628,9.63,-6328713,-7.8,1689750084,0
sz002681,奋达科技,4.93,-0.6000000000000001,-1485090,-1.4,-1830666,-1.73,345576,0.33,-2735274,-2.58,4220365,3.99,1689750096,0
sz300980,祥源新材,19.91,0.25,-1490221,-12.67,0,0.0,-1490221,-12.67,818328,6.96,671893,5.71,1689750087,0
sz002016,世荣兆业,6.68,1.37,-1491423,-8.11,0,0.0,-1491423,-8.11,-766103,-4.16,2257526,12.27,1689750120,0
sz000151,中成股份,12.6,-0.71,-1492600,-1.48,1097317,1.09,-2589917,-2.5700000000000003,2478297,2.46,-985697,-0.98,1689750123,0
sh688355,明志科技,27.9,-0.43,-1497903,-8.06,26029,0.14,-1523932,-8.2,-2590965,-13.94,4088869,22.0,1689750121,1
sz003042,中农联合,21.14,1.3900000000000001,-1498916,-1.33,-922507,-0.8200000000000001,-576409,-0.51,5732453,5.08,-4233537,-3.75,1689750129,0
sh600648,外高桥,11.55,0.52,-1499951,-7.14,-87734,-0.42,-1412217,-6.72,-1448067,-6.89,2948019,14.03,1689750122,1
sz002322,理工能科,10.14,-0.39,-1506956,-4.04,0,0.0,-1506956,-4.04,-3705513,-9.93,5212470,13.97,1689750114,0
sh603227,雪峰科技,8.5,0.0,-1507000,-3.87,1678463,4.31,-3185463,-8.18,1166016,2.99,340985,0.88,1689750125,1
sz002868,绿康生化,33.62,-1.35,-1508562,-7.76,0,0.0,-1508562,-7.76,2279872,11.73,-771310,-3.9699999999999998,1689750111,0
sh600628,新世界,7.57,1.88,-1508846,-4.08,408773,1.11,-1917619,-5.19,-1913432,-5.18,3422278,9.26,1689750122,1
sh600800,渤海化学,3.56,0.56,-1510779,-11.34,-457579,-3.44,-1053200,-7.91,-547782,-4.11,2058562,15.46,1689750107,1
sz000737,北方铜业,5.76,0.35000000000000003,-1515462,-5.29,0,0.0,-1515462,-5.29,-456921,-1.5899999999999999,1972383,6.88,1689750099,0
sh600535,天士力,14.33,-0.28,-1517288,-1.54,-1122212,-1.1400000000000001,-395076,-0.4,-5769711,-5.84,7286999,7.38,1689750132,1
sh688221,前沿生物-U,10.65,-0.75,-1518183,-13.92,0,0.0,-1518183,-13.92,1313195,12.04,204987,1.88,1689750133,1
sh603392,万泰生物,64.02,-0.28,-1519320,-1.6099999999999999,-12147840,-12.86,10628520,11.25,5121600,5.42,-3602281,-3.81,1689750123,1
sh688512,慧智微-U,21.17,-1.21,-1520694,-4.08,-3225067,-8.65,1704373,4.57,2138887,5.73,-618193,-1.6600000000000001,1689750124,1
sh688105,诺唯赞,29.2,-0.68,-1523597,-10.45,-214783,-1.47,-1308814,-8.98,151572,1.04,1372024,9.41,1689750126,1
sh600874,创业环保,5.96,1.3599999999999999,-1523731,-3.26,-363607,-0.78,-1160124,-2.48,171859,0.37,1351871,2.89,1689750111,1
sz000563,陕国投Ａ,3.07,0.33,-1526134,-2.93,-2402270,-4.61,876136,1.6800000000000002,1158995,2.22,367141,0.7000000000000001,1689750084,0
sh603713,密尔克卫,84.34,-1.82,-1527435,-3.42,511377,1.15,-2038812,-4.57,-1878573,-4.21,3406009,7.63,1689750125,1
sz300257,开山股份,14.74,-1.54,-1528916,-5.1,-1467507,-4.9,-61409,-0.21,1428452,4.77,100464,0.34,1689750132,0
sh600421,华嵘控股,10.39,-1.1400000000000001,-1529879,-12.68,-188926,-1.57,-1340953,-11.11,-311107,-2.58,1840986,15.26,1689750125,1
sz002161,远 望 谷,5.49,0.55,-1530314,-1.83,-1513806,-1.81,-16508,-0.02,2682607,3.22,-1152293,-1.38,1689750123,0
sh688207,格灵深瞳,23.72,1.19,-1531348,-3.8,-622122,-1.54,-909226,-2.25,-3215091,-7.97,4746438,11.77,1689750112,1
sh605177,东亚药业,25.89,-0.04,-1534689,-5.94,-82155,-0.32,-1452534,-5.62,972494,3.76,562194,2.18,1689750122,1
sz000524,岭南控股,10.3,0.39,-1539741,-3.06,0,0.0,-1539741,-3.06,-118993,-0.24,1658734,3.3,1689750120,0
sz300739,明阳电路,15.2,-0.91,-1540227,-3.54,-136472,-0.31,-1403755,-3.22,-4631457,-10.64,6171685,14.17,1689750108,0
sh603890,春秋电子,8.51,-0.8200000000000001,-1540910,-5.18,-908529,-3.05,-632381,-2.12,223941,0.75,1316969,4.42,1689750115,1
sh600371,万向德农,11.94,0.42,-1542011,-3.05,246515,0.49,-1788526,-3.54,-2893743,-5.73,4435754,8.79,1689750133,1
sh603678,火炬电子,32.1,-1.29,-1546216,-2.23,-784813,-1.13,-761403,-1.1,4373440,6.3,-2827224,-4.07,1689750134,1
201872,招港B,8.02,0.5,-1547133,-50.36,0,0.0,-1547133,-50.36,177744,5.79,1369389,44.57,1689750120,0
sz000925,众合科技,7.89,-0.25,-1548560,-3.99,0,0.0,-1548560,-3.99,121973,0.31,1426587,3.67,1689750129,0
sh603110,东方材料,26.38,-1.12,-1549911,-3.17,-96822,-0.2,-1453089,-2.98,2741108,5.61,-1191196,-2.44,1689750116,1
sz002136,安 纳 达,11.76,-0.93,-1550168,-11.58,0,0.0,-1550168,-11.58,295781,2.21,1254387,9.37,1689750102,0
sz300817,双飞股份,16.54,0.36,-1551949,-1.6099999999999999,-943246,-0.98,-608703,-0.63,-8270105,-8.55,9822055,10.16,1689750108,0
sz300837,浙矿股份,38.93,-0.43,-1551995,-12.34,-162055,-1.29,-1389940,-11.05,-159222,-1.27,1711217,13.61,1689750111,0
sh600223,福瑞达,9.4,0.86,-1552422,-1.37,-14866044,-13.13,13313622,11.76,8666784,7.65,-7114360,-6.28,1689750127,1
sz000850,华茂股份,3.71,0.8200000000000001,-1556136,-10.66,0,0.0,-1556136,-10.66,582592,3.99,973544,6.67,1689750093,0
sz000906,浙商中拓,8.9,0.0,-1556373,-4.74,0,0.0,-1556373,-4.74,-1466881,-4.47,3023255,9.22,1689750123,0
sh605158,华达新材,7.89,0.51,-1557611,-7.2,-320944,-1.48,-1236667,-5.71,-1293878,-5.98,2851489,13.17,1689750118,1
sh600678,四川金顶,5.52,0.0,-1560947,-9.03,699076,4.04,-2260023,-13.08,94042,0.54,1466906,8.49,1689750132,1
sz300397,天和防务,10.97,-1.6099999999999999,-1563247,-1.88,0,0.0,-1563247,-1.88,-369494,-0.45,1932742,2.33,1689750093,0
sz300649,杭州园林,22.22,1.88,-1563316,-1.15,-3866030,-2.85,2302714,1.7000000000000002,10312434,7.61,-8749118,-6.46,1689750087,0
sh603900,莱绅通灵,6.6,1.07,-1565531,-9.21,-1318463,-7.76,-247068,-1.45,-1694132,-9.97,3259663,19.18,1689750106,1
sh603861,白云电器,9.63,-1.33,-1566103,-5.0,-615217,-1.96,-950886,-3.04,-3385970,-10.81,4952074,15.81,1689750119,1
sz300752,隆利科技,16.82,-2.04,-1567822,-6.99,-307974,-1.37,-1259848,-5.62,-434909,-1.94,2002731,8.93,1689750114,0
sh603333,尚纬股份,4.91,0.0,-1568073,-6.67,-747695,-3.18,-820378,-3.49,789046,3.36,779027,3.31,1689750121,1
sz301356,天振股份,22.55,-0.5700000000000001,-1568081,-9.87,0,0.0,-1568081,-9.87,-1683767,-10.6,3251850,20.47,1689750105,0
sz002817,黄山胶囊,8.83,1.6099999999999999,-1568571,-4.22,0,0.0,-1568571,-4.22,3450683,9.28,-1882112,-5.06,1689750084,0
sz002650,加加食品,4.01,-0.5,-1568761,-10.36,-795476,-5.26,-773285,-5.11,2000266,13.22,-431504,-2.85,1689750081,0
sz002825,纳尔股份,8.78,-0.45,-1569265,-10.6,0,0.0,-1569265,-10.6,-1238310,-8.37,2807576,18.97,1689750087,0
sz300332,天壕环境,10.74,-0.46,-1570030,-4.22,-1110774,-2.99,-459256,-1.24,-4230491,-11.38,5800521,15.61,1689750114,0
sh688017,绿的谐波,136.44,-1.17,-1570592,-0.6000000000000001,-6338960,-2.44,4768368,1.83,9184524,3.5300000000000002,-7613933,-2.93,1689750116,1
sh600917,重庆燃气,6.84,0.0,-1571350,-14.99,-895409,-8.54,-675941,-6.45,76945,0.73,1494405,14.26,1689750132,1
sh600836,上海易连,4.67,-0.21,-1573729,-9.12,-1571830,-9.11,-1899,-0.01,-524815,-3.04,2098544,12.16,1689750123,1
sh600819,耀皮玻璃,4.87,0.0,-1574103,-9.22,-822196,-4.82,-751907,-4.41,233728,1.37,1340375,7.85,1689750131,1
sz002352,顺丰控股,47.1,0.47000000000000003,-1577092,-0.5,-12537463,-3.95,10960371,3.46,-7490123,-2.36,9067215,2.86,1689750093,0
sz300586,美联新材,11.67,-0.51,-1581421,-3.0,-1163340,-2.21,-418081,-0.79,-1485958,-2.8200000000000003,3067380,5.8100000000000005,1689750129,0
sz300789,唐源电气,21.86,-1.4,-1582286,-7.44,0,0.0,-1582286,-7.44,610216,2.87,972072,4.57,1689750102,0
sh688213,思特威-W,50.51,-2.87,-1583281,-3.2,-627126,-1.27,-956155,-1.9300000000000002,3185751,6.43,-1602469,-3.23,1689750104,1
sz300360,炬华科技,18.51,-0.27,-1587137,-0.6000000000000001,-5737158,-2.17,4150021,1.57,9747603,3.68,-8160466,-3.08,1689750084,0
sz300078,思创医惠,4.37,-0.46,-1587645,-8.31,0,0.0,-1587645,-8.31,-87084,-0.46,1674729,8.77,1689750090,0
sz000031,大悦城,3.8,0.8,-1587824,-5.5600000000000005,-2577200,-9.03,989376,3.47,1900529,6.66,-312705,-1.1,1689750099,0
sz000822,山东海化,7.07,0.71,-1589330,-3.94,239024,0.59,-1828354,-4.54,-1155506,-2.87,2744836,6.8100000000000005,1689750132,0
sh600715,文投控股,2.19,0.0,-1593846,-4.35,-3485712,-9.52,1891866,5.17,2627848,7.18,-1034002,-2.8200000000000003,1689750125,1
sh600082,海泰发展,3.32,0.91,-1602722,-6.03,-414149,-1.56,-1188573,-4.47,-3482156,-13.09,5084877,19.12,1689750116,1
sh600791,京能置业,4.62,1.76,-1608109,-5.36,361120,1.2,-1969229,-6.5600000000000005,-1862100,-6.2,3470210,11.56,1689750129,1
sz300199,翰宇药业,10.05,0.5,-1609037,-1.49,2846125,2.63,-4455162,-4.12,335280,0.31,1273757,1.18,1689750132,0
sz300997,欢乐家,13.96,-0.36,-1611987,-11.03,0,0.0,-1611987,-11.03,-238396,-1.63,1850384,12.66,1689750099,0
