代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sz301337,亚华电子,25850100.000000004,11140300.0,9103900.0,2036399.9999999998,25850100.000000004
sz300041,回天新材,214000000.0,4995200.0,2962700.0,2032500.0,338000000.0
sz300681,英搏尔,252999999.99999997,3299700.0000000005,1272600.0,2027000.0,256000000.0
sz002239,奥特佳,305000000.0,6013800.0,3997900.0,2015900.0,314000000.0
sz300007,汉威科技,244000000.0,8798200.0,6782500.0,2015700.0,247000000.00000003
sz002454,松芝股份,124000000.0,4925800.0,2910899.9999999995,2014900.0,124000000.0
sz000703,恒逸石化,1514000000.0,6445200.0,4430400.0,2014800.0,1525000000.0
sz002438,江苏神通,141000000.0,3074000.0,1063100.0,2011000.0,141000000.0
sz002690,美亚光电,66244799.99999999,3907400.0,1900500.0,2007000.0,72202800.0
sh601865,福莱特,474000000.0,7366799.999999999,5362800.0,2004000.0,756000000.0
sz000156,华数传媒,444000000.00000006,11355600.0,9351800.0,2003800.0,451999999.99999994
sz002665,首航高科,330000000.0,6836600.0,4839900.0,1996699.9999999998,330000000.0
sz002216,三全食品,161000000.0,6023200.000000001,4027700.0,1995500.0,168000000.0
sz002055,得润电子,547000000.0,8037200.0,6041900.000000001,1995300.0,551000000.0
sz002911,佛燃能源,66912299.99999999,4214600.0,2220100.0,1994500.0,67542800.0
sh688248,南网科技,177000000.0,7050200.0,5059300.0,1990900.0,189000000.0
sh600996,贵广网络,426999999.99999994,53014300.0,51024600.0,1989700.0,434999999.99999994
sz000683,远兴能源,726000000.0,12956199.999999998,10966500.0,1989600.0,741000000.0
sh600507,方大特钢,150000000.0,3171200.0,1195000.0,1976200.0,157000000.0
sz301261,恒工精密,36205400.0,10006300.0,8033000.0,1973200.0,38338800.0
sh601872,招商轮船,470000000.0,6924100.0,4959000.0,1965100.0,473000000.00000006
sh600171,上海贝岭,725000000.0,5913000.0,3950000.0,1962900.0,743000000.0
sh600064,南京高科,304000000.0,9269100.0,7309299.999999999,1959800.0,306000000.0
sh600098,广州发展,472000000.0,6393800.0,4437400.0,1956399.9999999998,480999999.99999994
sh688163,赛伦生物,35439900.0,3751000.0,1795000.0,1956000.0,37790300.0
sz300518,盛讯达,154000000.0,4289500.0,2339100.0,1950400.0,154000000.0
sh688776,国光电气,192000000.0,24592600.000000004,22649500.0,1943100.0,200999999.99999997
sh688396,华润微,633000000.0,8801500.0,6859299.999999999,1942200.0,760000000.0
sh603119,浙江荣泰,64973700.0,38177000.0,36239300.0,1937700.0,64973700.0
sz300998,宁波方正,85091800.0,2911900.0,974500.0,1937400.0,85091800.0
sz301239,普瑞眼科,75421200.0,9672700.0,7736100.0,1936600.0,78805300.0
sz002046,国机精工,77695600.0,4464500.0,2529000.0,1935500.0,78464000.0
sh601111,中国国航,709000000.0,16917300.0,14984000.0,1933400.0,724000000.0
sz300001,特锐德,1110000000.0,20948300.0,19019400.0,1928899.9999999998,1140000000.0
sz300183,东软载波,297000000.0,3692200.0000000005,1766100.0000000002,1926100.0000000002,315000000.0
sh600261,阳光照明,133000000.0,2506000.0,581800.0,1924300.0,133000000.0
sh688126,沪硅产业,613000000.0,11886300.000000002,9963700.0,1922600.0,1109000000.0
sz002093,国脉科技,294000000.0,5854299.999999999,3932600.0,1921699.9999999998,294000000.0
sz001696,宗申动力,229999999.99999997,4401200.0,2480400.0,1920800.0000000002,231000000.0
sh600894,广日股份,176000000.0,6127900.0,4212600.0,1915300.0,176000000.0
sh600141,兴发集团,1333000000.0,35528000.0,33613800.0,1914199.9999999998,1371000000.0
sh600378,昊华科技,88241600.0,7937400.0,6024700.0,1912700.0,101000000.0
sz301299,卓创资讯,65673200.0,52416800.0,50511400.0,1905400.0,65673200.0
sh688315,诺禾致源,26661600.0,3240100.0,1335600.0,1904500.0,27468600.0
sz301382,蜂助手,85957800.0,38294200.0,36393600.0,1900600.0,108000000.0
sh688331,荣昌生物,38847200.0,4636700.0,2743399.9999999995,1893300.0000000002,273000000.0
sz002560,通达股份,190000000.0,8468200.0,6575000.0,1893100.0,190000000.0
sh603456,九洲药业,122000000.0,7121200.0,5230800.0,1890300.0,135000000.0
sh688508,芯朋微,132000000.0,2963700.0,1074200.0,1889500.0,157000000.0
sz002897,意华股份,163000000.0,8968100.0,7083099.999999999,1885000.0,163000000.0
sh688711,宏微科技,484999999.99999994,4697400.0,2816800.0,1880600.0,492000000.0
sz000553,安道麦A,104000000.0,2658700.0,791300.0,1867400.0,108000000.0
sz300300,海峡创新,101000000.0,4230900.0,2366600.0,1864300.0,101000000.0
sh688281,华秦科技,22635000.0,3266900.0,1406800.0,1860100.0,41933600.0
sh600172,黄河旋风,304000000.0,6519600.0,4667100.0,1852400.0,306000000.0
sh688006,杭可科技,160000000.0,6099600.0,4248700.0,1851000.0,168000000.0
sh600184,光电股份,246000000.0,3448600.0,1598800.0,1849800.0,252999999.99999997
sz000596,古井贡酒,93733799.99999999,7481600.0,5632500.0,1849000.0,327000000.0
sh600486,扬农化工,200999999.99999997,10529300.0,8685800.0,1843400.0,215000000.0
sz301112,信邦智能,48834399.99999999,4873600.0,3044500.0,1829199.9999999998,48933500.0
