代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1058,地下管网,958.11,0.74,-165708875,-2.9,-54107851,-0.9500000000000001,-111601024,-1.96,-15860608,-0.28,181464400,3.18
BK0965,社区团购,820.86,0.96,-166235344,-2.5700000000000003,8000880,0.12,-174236224,-2.7,6292080,0.1,159943232,2.47
BK0855,纳米银,1345.25,-0.76,-167783904,-5.0,-5766384,-0.17,-162017520,-4.83,18504688,0.55,149279216,4.45
BK1143,空间计算,990.07,-0.77,-168863927,-3.23,-88082359,-1.6800000000000002,-80781568,-1.54,-27406176,-0.52,196270096,3.75
BK1086,粮食概念,876.13,0.37,-173632734,-3.7199999999999998,-105603326,-2.26,-68029408,-1.46,-49752928,-1.07,223385664,4.78
BK0978,光伏建筑一体化,1395.13,0.12,-180714576,-1.01,-307186304,-1.72,126471728,0.71,113305344,0.63,67474176,0.38
BK1125,电子后视镜,1124.55,-2.5,-183257175,-7.99,-72037031,-3.14,-111220144,-4.85,-55107216,-2.4,238364384,10.4
BK0898,胎压监测,1743.46,-1.8900000000000001,-185184032,-4.45,5867264,0.14,-191051296,-4.59,-53282880,-1.28,238466944,5.73
BK1065,气溶胶检测,1103.79,-0.53,-188282704,-11.37,-94526896,-5.71,-93755808,-5.66,71691440,4.33,116591248,7.04
BK0985,换电概念,1246.9,-0.47000000000000003,-191189968,-3.04,12189872,0.19,-203379840,-3.24,-23915744,-0.38,215105712,3.42
BK1113,复合集流体,897.65,-1.34,-191551389,-7.0,-62680381,-2.29,-128871008,-4.71,65373664,2.39,126177744,4.61
BK1084,数字哨兵,1601.36,-2.8,-191746383,-7.02,-135796879,-4.97,-55949504,-2.05,108139456,3.96,83606944,3.06
BK0906,流感,1547.02,0.41000000000000003,-195642288,-1.85,-117680528,-1.11,-77961760,-0.74,55767440,0.53,139874848,1.32
BK0992,REITs概念,780.07,1.47,-202948560,-2.21,-180033760,-1.96,-22914800,-0.25,132884480,1.45,70064064,0.76
BK1132,MLOps概念,1037.2,-2.48,-203795916,-11.16,-105375644,-5.77,-98420272,-5.39,86365712,4.73,117430176,6.43
BK0974,化妆品概念,1032.16,0.24,-206862429,-3.7,-69331853,-1.24,-137530576,-2.46,-25680304,-0.46,233650704,4.18
BK0519,稀缺资源,20288.92,0.26,-207106544,-1.3,-342789920,-2.14,135683376,0.85,52057344,0.33,155048960,0.97
BK0561,基本金属,22438.63,0.17,-215164256,-2.25,-172589344,-1.81,-42574912,-0.45,-26853872,-0.28,242018144,2.5300000000000002
BK1107,科创板做市商,1215.83,0.08,-219286720,-1.79,-247448864,-2.02,28162144,0.23,-196836352,-1.6,416123088,3.39
BK0672,沪企改革,2180.29,0.43,-221740224,-3.14,-170085824,-2.41,-51654400,-0.73,146300592,2.07,75439648,1.07
BK1130,时空大数据,993.62,-1.37,-221974796,-7.44,-99158860,-3.32,-122815936,-4.11,34041200,1.1400000000000001,187933584,6.3
BK1101,Chiplet概念,1302.33,-0.32,-222085408,-2.41,-102319744,-1.11,-119765664,-1.3,20831088,0.23,201254304,2.19
BK0617,石墨烯,1889.82,-0.33,-223813472,-2.76,-46997664,-0.58,-176815808,-2.18,24522288,0.30000000000000004,193160112,2.38
BK1133,ERP概念,971.18,-1.45,-225539232,-4.87,-44803936,-0.97,-180735296,-3.91,-82184800,-1.78,307724032,6.65
BK0669,生态农业,1302.11,0.96,-228720871,-5.6,-94469383,-2.31,-134251488,-3.29,84602992,2.07,144117888,3.5300000000000002
BK0994,空间站概念,1322.64,-1.78,-234923801,-9.36,-128006841,-5.1,-106916960,-4.26,36968928,1.47,197954880,7.89
BK0606,油气设服,1461.73,-0.36,-238378576,-4.91,-82740800,-1.7000000000000002,-155637776,-3.2,-33705088,-0.6900000000000001,271740160,5.59
BK1072,中俄贸易概念,1099.95,-0.54,-243027259,-6.15,-78004027,-1.97,-165023232,-4.18,-20030544,-0.51,263057824,6.66
BK0884,光刻胶,2211.21,-0.52,-243566288,-2.96,-95779632,-1.17,-147786656,-1.8,109566080,1.33,134000192,1.63
BK0699,全息技术,2589.55,-0.99,-245655088,-6.4,-157773792,-4.11,-87881296,-2.29,102217232,2.66,143437856,3.74
BK0957,拼多多概念,956.53,-1.8599999999999999,-246389874,-12.63,-113281186,-5.8100000000000005,-133108688,-6.82,20255440,1.04,226134432,11.59
BK1093,汽车一体化压铸,1071.0,-2.66,-255382419,-5.84,-125814595,-2.88,-129567824,-2.96,35186768,0.8,220195632,5.03
BK1052,动力电池回收,715.6,0.45,-255666288,-3.68,-36043136,-0.52,-219623152,-3.16,46655184,0.67,209011120,3.01
BK0856,工业大麻,1519.25,0.18,-256005150,-4.74,-143362478,-2.65,-112642672,-2.08,29705232,0.55,226299920,4.19
BK0817,昨日触板,1.5,0.67,-263724784,-1.81,-179431968,-1.23,-84292816,-0.58,14218496,0.1,249506144,1.71
BK0865,电子烟,1524.45,-0.89,-271974208,-3.52,-16801312,-0.22,-255172896,-3.3,-44720832,-0.58,316695040,4.1
BK0684,京津冀,1522.01,1.02,-276113264,-2.31,-7817680,-0.07,-268295584,-2.25,-51452432,-0.43,327565696,2.74
BK0955,C2M概念,1085.36,-0.28,-279042560,-3.84,-259384400,-3.5700000000000003,-19658160,-0.27,-59978768,-0.8300000000000001,339021344,4.67
BK0927,免税概念,1200.22,0.25,-284254688,-3.64,-160249664,-2.05,-124005024,-1.5899999999999999,-42620704,-0.55,326875392,4.18
BK0814,大飞机,1204.79,-0.77,-285979584,-2.83,-66046672,-0.65,-219932912,-2.18,21264880,0.21,264714720,2.62
BK1081,核酸采样亭,1392.7,-0.73,-287883919,-8.8,-61772991,-1.8900000000000001,-226110928,-6.91,10215936,0.31,277667968,8.49
BK1142,裸眼3D,968.83,-1.24,-291838800,-9.4,-173396464,-5.58,-118442336,-3.81,116202848,3.74,175635952,5.66
BK0956,eSIM,1449.98,-2.61,-296972452,-9.51,-192261108,-6.16,-104711344,-3.35,69838768,2.24,227133696,7.27
BK0632,土地流转,1590.11,1.04,-300609168,-3.76,-126145824,-1.58,-174463344,-2.18,-36758864,-0.46,337368016,4.22
BK0916,氮化镓,1087.74,-1.21,-303628432,-3.7,-143614560,-1.75,-160013872,-1.9500000000000002,35247552,0.43,268380880,3.27
BK0842,富士康,1405.4,-2.2,-305554720,-4.83,-127711104,-2.02,-177843616,-2.81,12685504,0.2,292869200,4.63
BK0656,智能电视,943.17,-1.28,-308890114,-12.1,-134237922,-5.26,-174652192,-6.84,61708000,2.42,247182112,9.68
BK0975,磁悬浮概念,1466.19,-1.07,-312651647,-9.12,-179826735,-5.25,-132824912,-3.88,28305088,0.8300000000000001,284346544,8.3
BK0926,湖北自贸,1286.26,-0.39,-315769936,-4.24,-206417392,-2.77,-109352544,-1.47,82813824,1.11,232956112,3.13
BK1087,超超临界发电,1201.49,-0.27,-319025216,-4.98,-228773216,-3.5700000000000003,-90252000,-1.4100000000000001,67016448,1.05,252008784,3.93
BK0882,猪肉概念,1414.85,0.45,-319246384,-4.96,-255883008,-3.9699999999999998,-63363376,-0.98,27623728,0.43,291622656,4.53
BK0563,油价相关,5668.26,-0.19,-323182944,-8.94,-214473504,-5.93,-108709440,-3.01,68235248,1.8900000000000001,254947680,7.05
BK0820,壳资源,1017.44,-0.31,-326126528,-5.07,-114868464,-1.78,-211258064,-3.2800000000000002,-9295216,-0.14,335421744,5.21
BK0838,东北振兴,1006.33,-0.03,-347255008,-4.61,-269229712,-3.5700000000000003,-78025296,-1.04,58790832,0.78,288464176,3.83
BK1057,电子纸概念,909.48,-1.2,-351806304,-9.95,-158387824,-4.48,-193418480,-5.47,128100672,3.62,223705632,6.32
BK0959,数字阅读,1339.73,-2.69,-357124909,-10.68,-174133245,-5.21,-182991664,-5.47,41963984,1.25,315160928,9.42
BK0948,MicroLED,878.48,-1.52,-364792832,-10.06,-196290368,-5.41,-168502464,-4.65,135514640,3.74,229278176,6.32
BK0615,中药概念,2160.78,0.17,-369314048,-2.64,-195345136,-1.4,-173968912,-1.25,-98231296,-0.7000000000000001,465737472,3.33
BK1092,麒麟电池,865.26,-2.89,-375644544,-8.43,-233380512,-5.24,-142264032,-3.19,171298976,3.85,204345568,4.59
BK0976,被动元件,1175.18,-2.04,-387076101,-9.76,-206778933,-5.22,-180297168,-4.55,11090128,0.28,375985968,9.48
BK0889,医疗美容,1677.87,0.08,-396261360,-4.47,-130395376,-1.47,-265865984,-3.0,55422608,0.63,341946720,3.86
