代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sh605300,佳禾食品,19.61,-1.16%,2.79%,15173800.000000002,16943800.0,1770000.0,32117600.000000004
sh688388,嘉元科技,20.38,-1.16%,1.09%,42995100.0,52165000.0,9169800.0,95160200.0
sz300772,运达股份,11.11,-1.16%,1.19%,38368400.0,55413800.0,17045400.0,93782200.0
sz300635,中达安,14.51,-1.16%,16.48%,133000000.0,155000000.0,22285800.0,287000000.0
sz002539,云图控股,8.55,-1.16%,1.78%,56121300.0,81266800.0,25145500.0,137000000.0
sz002111,威海广泰,8.53,-1.16%,1.52%,28050600.0,34961000.0,6910400.0,63011500.0
sz000045,深纺织A,9.37,-1.16%,1.30%,27789300.0,28762100.0,972800.0,57326400.0
sz300967,晓鸣股份,16.05,-1.17%,9.27%,82640000.0,75614300.0,7025700.000000001,158000000.0
sh600816,ST建元,3.38,-1.17%,0.36%,25180300.000000004,39297200.0,14116800.0,64477400.0
sh600568,ST中珠,1.69,-1.17%,0.64%,6681900.000000001,10537700.0,3855800.0,17219500.0
sh600536,中国软件,39.87,-1.17%,3.88%,625000000.0,710000000.0,85471700.0,1335000000.0
sz002371,北方华创,254.0,-1.17%,1.30%,758000000.0,1028999999.9999999,271000000.0,1787000000.0
sh688400,凌云光,22.7,-1.18%,2.13%,33637700.0,59461800.0,25824100.0,93099500.0
sh688216,气派科技,21.72,-1.18%,1.61%,6257200.0,9545000.0,3287700.0,15802200.0
sz300114,中航电测,41.21,-1.18%,2.39%,242000000.0,358000000.0,115999999.99999999,600000000.0
sz001337,四川黄金,31.67,-1.19%,15.13%,127000000.0,163000000.0,36075300.0,290000000.0
sz301188,力诺特玻,12.48,-1.19%,2.66%,21799100.0,29679200.0,7880100.0,51478300.0
sh688707,振华新材,24.16,-1.19%,0.90%,30495800.0,32481000.0,1985200.0,62976800.0
sh688080,映翰通,37.3,-1.19%,1.58%,20485300.000000004,23777700.0,3292400.0,44263100.00000001
sh605567,春雪食品,12.49,-1.19%,2.92%,20697800.000000004,25265300.000000004,4567400.0,45963100.00000001
sz300785,值得买,22.39,-1.19%,4.53%,51947100.0,68170400.0,16223300.0,120000000.0
sz300302,同有科技,11.65,-1.19%,5.75%,109000000.00000001,146000000.0,36763700.0,256000000.0
sz002719,麦趣尔,10.81,-1.19%,11.06%,97429200.0,102000000.0,4212700.0,199000000.0
sz002409,雅克科技,59.88,-1.19%,2.85%,246000000.0,315000000.0,68930000.0,560000000.0
sz301155,海力风电,55.87,-1.20%,2.67%,62374100.0,74055100.0,11681000.0,136000000.0
sz003031,中瓷电子,91.85,-1.20%,3.06%,92116900.0,104000000.0,12031800.0,197000000.0
sz300820,英杰电气,57.67,-1.20%,3.48%,92780600.0,123000000.0,30028400.0,216000000.0
sz300057,万顺新材,6.61,-1.20%,1.94%,36413900.0,60702299.99999999,24288500.0,97116100.0
sz001373,翔腾新材,38.33,-1.21%,15.11%,46100100.0,55853100.00000001,9753000.0,102000000.0
sz002634,棒杰股份,8.18,-1.21%,1.40%,18379400.0,26362800.000000004,7983400.0,44742299.99999999
