,BOARD_CODE,BOARD_NAME,INDEX_CHANGE_RATIO,TRADE_DATE,COMPOSITION_QUANTITY_ADD,COMPOSITION_QUANTITY,ADD_MARKET_CAP,ADD_RATIO,BOARD_VALUE,ADD_BOARD_RATIO,ADD_HK_RATIO,HK_VALUE,BOARD_HK_RATIO,HK_BOARD_RATIO,MAXADD_SECURITY_CODE,MAXADD_SECUCODE,MAXADD_SECURITY_NAME,MINADD_SECURITY_CODE,MINADD_SECUCODE,MINADD_SECURITY_NAME,MAXADD_RATIO_SECURITY_NAME,MAXADD_RATIO_SECURITY_CODE,MAXADD_RATIO_SECUCODE,MINADD_RATIO_SECURITY_NAME,MINADD_RATIO_SECURITY_CODE,MINADD_RATIO_SECUCODE,IS_NEW,SECURITY_CODE,MAXHOLD_MARKETCAP_NAME,MAXHOLD_MARKETCAP_SECURITYCODE,MAXHOLD_MARKETCAP_SECUCODE
40,16006,公用事业,1.54,2023-06-27 00:00:00,9,9,42891964.758,3.25299901,122472612505.33,0.000350216786,2.2387089999999997e-05,1375732482.79,0.000718051665,0.01123298062,601199,601199.SH,江南水务,,,,江南水务,601199,601199.SH,,,,0,BK0427,000598.SZ,598,000598.SZ
41,16035,汽车零部件,1.08,2023-06-27 00:00:00,47,68,42699522.4653,0.14547556,1059484824250.95,4.0302156e-05,2.2286646e-05,29591056641.38,0.015444795958,0.027929665403,2126,002126.SZ,银轮股份,2472.0,002472.SZ,双环传动,银轮股份,2126,002126.SZ,双环传动,2472.0,002472.SZ,0,BK0481,000338.SZ,338,000338.SZ
42,16069,燃气,1.12,2023-06-27 00:00:00,13,16,42495323.0891,0.9548079500000001,238667483445.13,0.00017805242,2.2180065999999998e-05,4638372571.83,0.002420958427,0.019434455439,601139,601139.SH,深圳燃气,2911.0,002911.SZ,佛燃能源,中泰股份,300435,300435.SZ,佛燃能源,2911.0,002911.SZ,0,BK1028,600803.SH,600803,600803.SH
43,16013,家用轻工,-0.41000000000000003,2023-06-27 00:00:00,8,9,28431398.7007,0.87602448,108645185645.12,0.000261690369,1.4839523e-05,3284146844.41,0.001714132027,0.030228185674999998,2489,002489.SZ,浙江永强,603899.0,603899.SH,晨光股份,浙江永强,2489,002489.SZ,晨光股份,603899.0,603899.SH,0,BK0440,603899.SH,603899,603899.SH
44,16036,商业百货,-0.15,2023-06-27 00:00:00,28,32,26645970.4628,0.86712648,369531049027.19,7.2107528e-05,1.3907634e-05,3188676381.62,0.001664302045,0.008628980948,600859,600859.SH,王府井,600415.0,600415.SH,小商品城,步步高,2251,002251.SZ,小商品城,600415.0,600415.SH,0,BK0482,600415.SH,600415,600415.SH
45,16045,装修装饰,-0.52,2023-06-27 00:00:00,6,6,24994040.3046,7.85017701,47989671122.19,0.000520821246,1.3045423e-05,352536886.82,0.000184003578,0.0073460992449999995,2081,002081.SZ,金螳螂,,,,金螳螂,2081,002081.SZ,,,,0,BK0725,002081.SZ,2081,002081.SZ
46,16061,专用设备,0.49,2023-06-27 00:00:00,64,95,24859716.224,0.09155038,1101465798009.01,2.2569666999999998e-05,1.2975314e-05,27408481296.68,0.014305619642999999,0.024883642639,519,000519.SZ,中兵红箭,300724.0,300724.SZ,捷佳伟创,东方精工,2611,002611.SZ,捷佳伟创,300724.0,300724.SZ,0,BK0910,300751.SZ,300751,300751.SZ
47,16086,房地产服务,-0.24,2023-06-27 00:00:00,6,7,22182918.924,6.10322305,56155826673.25,0.00039502434999999996,1.1578183e-05,400016445.97,0.00020878512299999998,0.007123329308,560,000560.SZ,我爱我家,2146.0,002146.SZ,荣盛发展,我爱我家,560,000560.SZ,荣盛发展,2146.0,002146.SZ,0,BK1045,001914.SZ,1914,001914.SZ
48,16063,汽车服务,0.11,2023-06-27 00:00:00,5,7,21997799.7304,4.98404316,83148468352.59,0.000264560492,1.1481561e-05,473029484.29,0.000246893646,0.005688974117,301215,301215.SZ,中汽股份,300825.0,300825.SZ,阿尔特,中汽股份,301215,301215.SZ,阿尔特,300825.0,300825.SZ,0,BK1016,601965.SH,601965,601965.SH
49,16024,化学制药,-0.14,2023-06-27 00:00:00,57,93,11902950.1392,0.03210068,1538862198422.19,7.734903e-06,6.2126419999999995e-06,37155007201.71,0.019392734501,0.024144466762,2422,002422.SZ,科伦药业,600276.0,600276.SH,恒瑞医药,新华制药,756,000756.SZ,博腾股份,300363.0,300363.SZ,0,BK0465,600276.SH,600276,600276.SH
