行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16054,珠宝首饰,-1.04,2023-08-08 00:00:00,6,7,41585435.4638,1.8766448599999999,132374135808.1,0.000314150761,2.1339638999999998e-05,2289734420.53,0.001174981227,0.017297445657,2867.0,周大生,,,周大生,2867.0,,,600655
16037,贸易行业,-0.48,2023-08-08 00:00:00,14,24,30939479.3138,0.74877676,265285020503.82,0.000116627314,1.5876648e-05,4134011820.2,0.002121375404,0.015583284018,600153.0,建发股份,1287.0,中电港,苏美达,600710.0,鹏都农牧,2505.0,600153
16083,医药商业,1.51,2023-08-08 00:00:00,13,19,22201260.8489,0.14556954,350203399350.47,6.3395332e-05,1.1392616e-05,15435309614.95,0.007920656156,0.044075270667,601607.0,上海医药,603883.0,老百姓,重药控股,950.0,老百姓,603883.0,603939
16064,采掘行业,-0.86,2023-08-08 00:00:00,6,11,21191084.2673,0.29532529,269116003713.55,7.8743308e-05,1.0874242e-05,7214453791.27,0.003702109595,0.026807970138,603979.0,金诚信,600339.0,中油工程,金诚信,603979.0,惠博普,2554.0,601808
16051,化肥行业,-0.62,2023-08-08 00:00:00,11,17,20611265.9136,0.39353413,329647642131.16,6.2525143e-05,1.0576706999999999e-05,5273273012.07,0.002705989279,0.015996695677999998,893.0,亚钾国际,408.0,藏格矿业,四川美丰,731.0,华昌化工,2274.0,792
16025,造纸印刷,-0.92,2023-08-08 00:00:00,7,15,18559764.1326,0.58014865,181265800361.65,0.000102389773,9.523975e-06,3180048756.99,0.0016318475879999999,0.01754356724,2229.0,鸿博股份,815.0,美利云,青山纸业,600103.0,美利云,815.0,2831
16044,玻璃玻纤,-0.63,2023-08-08 00:00:00,5,14,18499107.1168,0.06732472,379650974520.29,4.8726616e-05,9.492848999999999e-06,27491514081.65,0.014107318588,0.0724125998,600660.0,福耀玻璃,601865.0,福莱特,金刚光伏,300093.0,再升科技,603601.0,600660
16006,公用事业,0.30000000000000004,2023-08-08 00:00:00,5,9,11382039.2074,0.77135009,122329168575.4,9.304436e-05,5.8407129999999996e-06,1481197530.0,0.000760079106,0.012108293936,685.0,中山公用,3039.0,顺控发展,中山公用,685.0,顺控发展,3039.0,600008
16059,工程机械,-1.31,2023-08-08 00:00:00,9,19,8386272.6125,0.02314027,561793910486.77,1.4927666999999999e-05,4.30343e-06,35714929899.68,0.018327178813,0.063573010018,600031.0,三一重工,425.0,徐工机械,诺力股份,603611.0,山河智能,2097.0,600031
16042,综合行业,-0.98,2023-08-08 00:00:00,5,9,5845663.1643,0.37369219000000004,116628434847.02,5.0122109e-05,2.9997119999999997e-06,1560129647.23,0.0008005832599999999,0.013376923469,9.0,中国宝安,861.0,海印股份,泰达股份,652.0,海印股份,861.0,9
16080,电子化学品,-0.67,2023-08-08 00:00:00,7,16,2264431.589,0.09408463,166376794831.42,1.3610260999999999e-05,1.161997e-06,2405058667.57,0.001234160066,0.014455493448,300346.0,南大光电,688019.0,安集科技,飞凯材料,300398.0,濮阳惠成,300481.0,300054
16046,工程咨询服务,-0.61,2023-08-08 00:00:00,5,9,1038263.4744,0.09371923,66976908533.81,1.5501812e-05,5.32787e-07,1107368598.85,0.000568248135,0.016533587815,603357.0,设计总院,928.0,中钢国际,设计总院,603357.0,深城交,301091.0,603357
16052,贵金属,-1.3599999999999999,2023-08-08 00:00:00,5,10,-181095.6298,-0.00062861,637448837879.35,-2.8409399999999995e-07,-9.293e-08,29274433784.5,0.015022226954999999,0.045924366074,600547.0,山东黄金,601899.0,紫金矿业,四川黄金,1337.0,西部黄金,601069.0,601899
16057,软件开发,-0.2,2023-08-08 00:00:00,46,93,-634601.6434,-0.00100055,1889618520188.96,-3.35836e-07,-3.2564700000000003e-07,62951088479.27,0.032303461278,0.033314178395,300033.0,同花顺,2230.0,科大讯飞,拉卡拉,300773.0,万兴科技,300624.0,600570
16007,电力行业,-1.16,2023-08-08 00:00:00,24,64,-668342.144,-0.00112056,2728646231440.48,-2.44935e-07,-3.42961e-07,59877596671.44,0.030726293575,0.021944067347999998,600886.0,国投电力,539.0,粤电力A,涪陵电力,600452.0,梅雁吉祥,600868.0,600900
16002,铁路公路,-0.87,2023-08-08 00:00:00,10,19,-986457.7049,-0.0428348,298973302853.98,-3.299484e-06,-5.06202e-07,2303606366.32,0.0011820996399999999,0.007705057088,885.0,城发环境,600350.0,山东高速,城发环境,885.0,天宸股份,600620.0,600350
16018,塑料制品,-0.85,2023-08-08 00:00:00,6,21,-4323808.1117,-0.11696057,193714908207.32,-2.2320472e-05,-2.21877e-06,3683855379.65,0.001890376838,0.01901689144,601208.0,东材科技,600143.0,金发科技,东材科技,601208.0,沧州明珠,2108.0,300487
16060,教育,-1.9300000000000002,2023-08-08 00:00:00,1,3,-6976038.4055,-2.04051185,39463000148.34,-0.000176774152,-3.579766e-06,335702703.42,0.00017226642999999998,0.008506770953999999,600880.0,博瑞传播,2607.0,中公教育,博瑞传播,600880.0,传智教育,3032.0,2607
16021,仪器仪表,-1.16,2023-08-08 00:00:00,8,18,-8038764.0533,-0.64550296,163301645109.09,-4.9226473e-05,-4.125106e-06,1216295338.2,0.000624144082,0.007448151165,301303.0,真兰仪表,300007.0,汉威科技,真兰仪表,301303.0,汉威科技,300007.0,601222
16086,房地产服务,-0.85,2023-08-08 00:00:00,3,7,-9021981.045,-1.07118037,66680595422.74,-0.000135301447,-4.629645e-06,821959818.38,0.00042179011999999997,0.012326821816,2285.0,世联行,2146.0,荣盛发展,世联行,2285.0,我爱我家,560.0,2285
