微博id,微博内容,微博发布时间
Mtf6H987l,求是发表的文章，有很多方向性的指引，说得也很清楚，建议阅读原文。昨晚各式监管和公告纷沓而至，从监管的角度看其实也很简单，AI向涨多了，多体现在标的多，现在已经100+标的在走这个概念了，其次是涨幅高，头部已经三倍了。从交易量的角度看，两市五分之一强的交易量在这个板块，蹭不到的全在跌。...全文 ,2023-02-16 09:03
MtaJQCWpw,明天必然是大博弈日，早睡早起吧，攒点体明天早盘用。  ,2023-02-15 21:56
Mt8FCp718,成都土地整理项目9亿收益争夺案：或涉案外干预，调查组介入调查有没有小伙伴，能从法务实践层面给点建议，这种怎么能执行到位？  ,2023-02-15 16:40
Mt8q3lDxU,之前猜今年是14年的、16、19年的，现在看起来，炒法很像13年，比13年疯。  ,2023-02-15 16:02
Mt7SCpGld,我和我老哥讲最近这些个小票都是干啥的，然后有一大半他不认识。感觉这A股就是一个村，这些年人口翻了一倍多。然后老股民只认识老村民，新村民几乎都不认识。这就好像村里70岁的出门聊天，最多只能找50岁的聊，再小的就不认得了。那现在就是一群小屁孩在玩新梗的阶段，老股民看不懂很正常。但对...全文 ,2023-02-15 14:39
Mt7NOl3kW,今年如果定投，ETF可以看芯片半导体方向了。当然，懂行的可以看一看成分股，把自己不喜欢的去掉，换成喜欢的自己配。从全年来看，定投问题不大。很难再遇到去年恒科那种大坑了，定投即可。计算机和电子这对哼哈二将，一个走好，另一个也就不远了。想超额收益去搞小盘股，定投也就是跑赢指数的水平...全文 原图 ,2023-02-15 14:28
Mt5rN1Qu3,美国CPI落地了，略高于预期。从当前的数据来看，3月加息25个基点概率较大。不管5月份是继续加25或者不加，维持一段时间的高利率，然后转向降息，趋势已经大致形成了，更多是利率维持在高位的背景下，美国实际需求是否被抑制的问题。这对于咱们A股来说，更多是对出口的影响。数据发布后，美股主要指数小...全文 ,2023-02-15 08:28
MsVXXmgAk,在历经8个20厘米板后，今天中航电测按照正常节奏应该开板了，昨天成交了25亿，今天估计成交百亿附近，想买的肯定可以买到。这个注入到目前为止，还是犹抱琵琶半遮面。公告中明确有不注入的部分，但没有方案的细节，也就无从判断到底不注入的部分是啥。坊间最差的传闻是只注入集团半数利润的资产，此前...全文 ,2023-02-14 08:20
MsQBDwqXI,看了一下俄亥俄州的气象预报，也就难怪美国这几天要拼命打气球了。从那个飞机上可以看到的烟柱高度来看，二噁英已经可以扩散到高云族的高度，五六千米应该有了，这也验证了在事故地点外100公里地区出现家禽和鸟类死亡。关键的是，这个扩散不会止于俄亥俄州内，当前俄亥俄州以西风为主，有西北风也有...全文 原图 ,2023-02-13 18:41
MsP1DmxEv,今天AI有部分资金出来，但也没有崩，只是标的集中了。流出的资金+低位逻辑，拉板也比较顺畅。整体走势好于周末的市场预期。成交量还是弱了点。我个人上周缩小了打野仓的比例，后续这部分仓位，会在个股有合适的位置时，加在大会预期的方向。去年11月过来一直有融资，当前没有融资了，后续除非大跌...全文 ,2023-02-13 14:40
MsNy7mrHC,社融还是反馈了，工程机械板块比较活跃，基建也有动一动。  ,2023-02-13 10:54
MsMD9fXO9,市场对一月份社融数据的解读很充分了，我就不赘述了。悲观的看法，尤其是着急开饭的看法是认为居民端的数据没有上来，2023年才过去一个多月，就要求居民单位掏家底，那剩下的十来个月咋办？明明企业贷款还行，一定要看房贷。不过社融还要结合发债情况来看，剔除1月发债略少的影响，整体还是可以的。从...全文 ,2023-02-13 08:34
MsxFFpkRv,首堵归位了，太堵了，一天下来，脚麻了。要不，咱单双号出行吧。  ,2023-02-11 18:29
MsnPj9Dp9,社融很好，不只是数好看，结构也不错。  ,2023-02-10 17:25
MsmTJ3OJ2,周末愉快  ,2023-02-10 15:03
Mslfhpk33,整理了一下打野仓，扩散太快，下周题材不会像这周这么好做了。之前从配置仓借的仓位，还回去。总仓位略有下降，降得不多，更多是等配置机会。  ,2023-02-10 10:51
MskwObfg4,就这个交易量，吸金的板块已经足够多了，不要太扩散了。扩散成功了，也未必是好事。回忆一下，当年数字孪生&网络切片一起来的那个下午，是不是崩盘崩得很爽？今天吸金的东西很多，留点余地吧。  ,2023-02-10 09:01
MsgP2hATq,晚上会看会儿外盘，顺便先码了，明早晚点起。特斯拉从底部上来也翻倍了，一月份的销售数据也不错，环比增长18%。从预期来看，一季度产能利用率会大大增加。在3月的会议上还可以披露包括Q在内的一系列举措，对应A股的标的今天在多题材轮动的背景下也涨得还可以。这种行业性的机会，还是美港股比较好...全文 ,2023-02-09 23:35
Mscazh9Sk,看午后发酵哪个方向吧，如果继续是半导体资金怼，那就是FPGA了，要算力，少不了这个。如果是计算机资金怼，那么会去AI和信创结合部，或者云一点。主要问题还是成交量，这些东西要涨，还是要成交量。村里其实这几天出牌挺克制的，红牌到现在还没有出，开的口子也是科技向，那咱识相点  ,2023-02-09 11:44
MsbNJioEV,"转发理由:算力、压铸、钙钛矿今天反馈都行，只是钱不够，所以核心标的以外的票，涨幅没有前几天强。  
原始用户: 唐史主任司马迁
转发内容: 外盘因为预期管理和谷歌乌龙等因素，回调中。监管在继续降AI的热度，从节奏上来看，要慢下来了。至于换一批炒，也比不上第一批，毕竟这是市场审美选出来的。整体来看，最近炒的东西，都可以概括为“能源+算力”。这种科技风，指向科创板的比以往多。其实脱离开炒股来看，如果咱们也要跟进AI这个事情...全文 ",2023-02-09 10:48
MsaXbcHZj,外盘因为预期管理和谷歌乌龙等因素，回调中。监管在继续降AI的热度，从节奏上来看，要慢下来了。至于换一批炒，也比不上第一批，毕竟这是市场审美选出来的。整体来看，最近炒的东西，都可以概括为“能源+算力”。这种科技风，指向科创板的比以往多。其实脱离开炒股来看，如果咱们也要跟进AI这个事情...全文 ,2023-02-09 08:39
Ms2Mf8GWZ,  [组图共2张] 原图 ,2023-02-08 11:50
Ms2HYmWxG,我最近在哪说话都少，尤其是在我自己熟悉的领域里，说得更少。核心是，秉持基本原则——不利于赚钱的话不讲。在哪都虚心抄作业，钱没有多赚多少，但是没有和人干仗，发红包的钱少了很多。  ,2023-02-08 11:39
Ms2pv7QDg,昨天卖错的一支，chua一下拉上去，顿时心态爆炸，然后又做错一笔。短线还是要心态好，心态不好先去洗把脸喝个水打一套军体拳再回来  ,2023-02-08 10:54
Ms24QalO0,题材也还有能扛住的，成长方向也有资金来。各花入各眼。  ,2023-02-08 10:03
Ms1vVnLdX,"转发理由:出黄牌了，高位再搞容易吃红牌，看看低位啥意思。短期题材强度还不会结束，但需要跟踪资金流向，看是去搞低位题材还是低位成长。  
原始用户: 唐史主任司马迁
转发内容: 从下午到晚上参加的讨论，老司机们不约而同都在担心“成交量和题材股占比不匹配”的问题。前二十成交量、前五十成交量的榜单里，题材股占比都很大。这种情况，其实老司机都遇到过，后面要么崩掉一个题材，要么全崩掉。崩的话我也不知道崩哪个，服从市场吧。也就是以往我们经常说的，三个胖子一起出门，...全文 ",2023-02-08 08:37
MrXFDAgTb,从下午到晚上参加的讨论，老司机们不约而同都在担心“成交量和题材股占比不匹配”的问题。前二十成交量、前五十成交量的榜单里，题材股占比都很大。这种情况，其实老司机都遇到过，后面要么崩掉一个题材，要么全崩掉。崩的话我也不知道崩哪个，服从市场吧。也就是以往我们经常说的，三个胖子一起出门，...全文 ,2023-02-07 22:50
MrWZWpcga,"转发理由:转发微博  
原始用户: 新华社
转发内容: 【习近平在学习贯彻党的二十大精神研讨班开班式上发表重要讲话强调 正确理解和大力推进中国式现代化 李强主持 赵乐际王沪宁蔡奇丁薛祥李希出席】新华社北京2月7日电新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班7日上午在中央党...全文 原图 ",2023-02-07 21:07
MrUu7jAav,我看成交排序也慌张，以往分两拨做的东西，现在都是一波拱到头，所以很难分辨什么时候到头。成交量不会骗人的，尤其前20成交，所以，小盘股拱进前二十甚至前十，部分落袋总是没错的。最怕的还是被裁判出红牌。勇一点的话，就等确定回调再卖吧，那样只是少赚了点，但不至于卖完踏空。不管怎么着，核心...全文 ,2023-02-07 14:43
MrTwVxdDu,最近很少有媒体提及日本可能部署中导，这个事和萨德不同，萨德至少从拦截导弹的射程来看，危害没有中导大。而且以日本这个尿性，必然争取部署超音速武器，而不止是战斧这种。日本干了，那么东南亚国家迟早会有被掐着干的，比如菲律宾。这对我们前出第一岛链，和在台湾东面拒止是非常不利的。那么这...全文 ,2023-02-07 12:17
MrTgbtqSh,AI、钙钛矿、固态电池、机器人、MR、量子、压铸、CPO、数字，年后这一轮，都是科技线。极客的概念，朋克的估值，但没办法，二级在干一级的活。  ,2023-02-07 11:36
MrSQWir2D,今天炒的东西，比前两天正了不少。市场还是有效的。  ,2023-02-07 10:34
MrSgH2dp8,外盘也处于回调中，经济数据对宏观预期的影响还是存在的，不管下一次加息是否是最后一次加息，就业数据在那摆着，通胀在那摆着，那么加息退出转向宽松的时间表就会晚于预期，这是目前对美联储节奏的大致预判。咱国内目前的流动性没有问题，银行间市场以往会紧张的节点，今年还行，流动性较为充裕。主...全文 ,2023-02-07 09:05
MrK2nv3Ay,我一贯的看法是房地产不用看了，一个是人口不支持，一个是货币也不能总托举着这个。当然，一些内部的结构变化还是会有的，向一线集中，向人口流入地集中。去年就放了那么多政策出来，结果今年一开始春呢？咨询如何提前还贷的一大波，甚至逼银行“我觉得我要破产了，提前告知你们，如果你们银行不接受...全文 ,2023-02-06 12:07
MrIT6tmQW,如果你是一个不需要基于零次文献，一次文献，二次文献来工作的人，只是要凑个豆腐块交差，自身可以零成长，那么ChatGPT可以用，下一代会更好用。如果你本身的工作强调自身的成长属性，且需要基于原始文献来分析，且可能得出不同结论，需要比照论证，那么ChatGPT便完全无用，最多就是在成文阶段使用，...全文 ,2023-02-06 09:12
MrEEL4Eek,周末消息面很少有人关注的是，香港全面通关。这个事情对于二级来说不是啥大事，但侧证了，疾控问题以后不再是重点了。也许还会小反复，但不会起大波澜。人口方面，之前部分地区已经率先将辅助生殖纳入到医保当中。国家主观机关层面来确认这一措施将全面施行，这一方面说明了出生率的急迫性，另一方面...全文 ,2023-02-05 22:25
MrA3UaT2x,手机推送，北京去成都的机票，公务舱只要800元。顿时很想订一张，去看看雪。这个时节，成都没有雪，川西有，岷山有。如果赶上天气好，越过城市的天际线，可以看到皑皑雪山，突破天际，横贯南北。杜甫曾经望着这雪山写过“窗含西岭千秋雪，门泊东吴万里船”。西山雪水，自岷山灌出，奔流向南，在宜...全文 ,2023-02-05 10:44
MrsCM5k8w,到任意旅游城市的机票都很便宜，公务舱都很便宜。至于酒店就更便宜了，销售说，过去可以给免费升房型。现象就是这么个现象，结论您自己来  ,2023-02-04 15:48
MrrccjPol,高空气球这个事，美国人紧张是因为他们才是最早的玩家。美苏对抗时期，美国人先用U2高空侦察机去苏联，也包括中国侦查。然后被苏制导弹揍下来了。于是美国人就改用4万米的高空气球，这样苏联导弹的升限打不到。历史上也有美国气球从4万米飞过苏联后，向中国境内飞，且很欺负人地把高度降到2万米以下...全文 ,2023-02-04 12:09
MriQeCnKW,做题材经常会遇到反向科普。有些时候是研究员，有些时候是朋友，有些时候是不熟的人。研究员还好，反正咱也没有派点可以打，人来科普已经很够意思了。友善外呼发个红包都不一定收，工作嘛。朋友嘛，也好，没有负担。一顿喷完肯定被他骂，那你丫为啥不早说。我怎么早说，我那个时候也不确定能做起来啊...全文 ,2023-02-03 14:53
MriIfkw9X,科创板率先翻红  ,2023-02-03 14:34
MrhuWvKzA,跑得比香港记者还快，缺口补掉一个了，下午还撒丫子跑不  ,2023-02-03 11:28
Mrgtfk5Gt,昨天复盘了一下2023年以来的涨幅排序和交易量排序，两者还是很有特点的。交易量排序主要是最近上行的权重股，且主要是消费和新能源方向，外资偏爱的居多。而涨幅排序则是最近市场热点为主，包括创新药重组股和热门题材股，其中688占比也不少。这两种风格是搭台和唱戏的关系，比如光伏企稳，才有钙钛矿...全文 ,2023-02-03 08:51
MrcyMtnDD,2022年全国前十GDP城市排名是：1、上海（44652.8亿元）2、北京（41610.9亿元）3、深圳（32387.68亿元）4、重庆（29129.03亿元）5、广州（28839亿元）6、苏州（23958.3亿元）7、成都（20817.5亿元）8、武汉（18866.43亿元）9、杭州（18753亿元）10、南京（16907.85亿元）看到这个数据，感觉...全文 [组图共2张] 原图 ,2023-02-02 22:54
Mrb6gta49,看了一下各国的军费情况：1、韩国2023约425亿美元，比2022年增加了4.6%。但是鸡贼的点在于，造航母的钱不算在这里。2、日本2023财年国防预算草案，达到创纪录的6.8万亿日元(约合510亿美元)，较本财年大幅增长了26.3%。3、澳大利亚将2023年6月结束的财年预算国防开支增加8%，到2026年占GDP的比率...全文 ,2023-02-02 19:11
Mr8rYh9wv,蔚来降价没有啥稀罕的，都会降价。特斯拉本身也在降本，降本是为了价格战的空间可以更大。特斯拉不断降本且降价，不跟进的车厂必然丧失份额，因为没有比降价更有诚意的促销。电车全面跟进降价，必然导致亏损，想避免亏损，那么也只能跟进降本。降本的手段有两个，1、压铸、2国产化。压铸不聊了。...全文 ,2023-02-02 12:26
Mr8103DU7,补短板  原图 ,2023-02-02 11:20
Mr7cGBfJ4,老哥讲话太一针见血了：自从币圈的人过来炒股后，很多概念炒作，越来越像搞空气币。哈哈哈哈哈  ,2023-02-02 09:16
Mr75HnEZv,昨晚看美股睡太晚，起晚了，今天就随便码一下。注册制的大致框架出来了，并没有大家期待的全场20厘米，但从规则上来看，不同交易所的发行规则大致统一了。交易所以及保荐方、事务所的责任未来会变重。从交易细则上来看，以后挂单快速拉升会有困难，价格笼子的约束力更强。但对于量化来说，他们连续下...全文 ,2023-02-02 08:58
Mr3bLkZXx,百度大涨，不了解的，会想他是抄袭。其实百度早年买过一家企业，叫渡鸦，然后还前排搞了音箱，想把搜索和自然语言搞一起，搞成产品。但如他其他产品一样，都是起大早赶晚集，还失败了。百度已经不算大厂了，中厂吧。但这些年自动驾驶的人才，多出自百度。AI的，尤其是自然语言的，也多出自百度。黄...全文 ,2023-02-01 23:02
MqZEElHFW,汽车的光显示，包括很多零零总总的东西，比如车灯，大灯小灯尾灯氛围灯，包括hud大屏和娱乐屏等等。关键是，要智能化，这些屏这些灯就要能打通。比如你大屏驻车时是一个亮度，启动后又是一个亮度，这也可以扩大到整个娱乐系统。比如你没熄火开车门，尾灯提示，照明提示等等。比如等你女朋友，可以用不...全文 ,2023-02-01 14:02
MqZ4u7YZ2,一级对二级的玩法不屑，由来已久。觉得二级就是业余。其实实质是，一级TMD活没干完，所以二级来补。二级怎么补？不外乎城门立柱，告诉你哪个东西在二级能卖上价钱，然后让你一级加速去做。或者更为直接地表达：二级是买方，一级是卖方。很多初创公司，都有这个毛病。这个毛病什么时候改掉呢？解禁...全文 ,2023-02-01 12:33
MqYhMw0vu,跪求今晚有色研究员开会，设置成一百人参加会议，真的不要开大会了  ,2023-02-01 10:33
MqXJDl9yc,美国的互联网霸权还会延续，这体现在传媒舆论的控制权，以及基于互联网和芯片优势的高算力产业。但美国的制造业已经无法支撑其本土的硬实力创新。就比如美国的光伏无法支持其低碳理念。美国的新能源汽车业也很难完成马斯克需要的降本。在这种背景下，美国守住技术壁垒的决心是不会动摇的，芯片半导体...全文 ,2023-02-01 09:09
MqXAm0O9r,外盘还不错，港股昨天尾盘也拉升了一把，有指数基金调仓的因素，也有主动修复的买盘。从盘面来看，卷了两天，接下来可以正常做了。指数下方确实还有一些缺口，看K线炒股的会惴惴不安，但只要外资流入还在继续，问题就不大。之前也说过，随着博弈结束，内外水差找平，活跃资金还是喜欢去做成长和题材。...全文 ,2023-02-01 08:46
MqTR2jofH,有点累，我明早摆烂一下，起得来就起，起不来的话，早上就不哔哔了。  ,2023-01-31 23:17
MqQuHrzun,内资是真能砸，这么和北上反向做，确定是对的？  ,2023-01-31 14:43
MqOX2lKkX,知道了，别那么兴奋，多看板块怎么形成，多看后手资金拿的啥筹码。懂的就懂，咱不哔哔，不干扰他人，等专业卖方推进行不行  ,2023-01-31 10:48
MqOdShUfe,港股从成交回报来看，内资在卖。从交易策略上来看，南下资金解套后回A也没啥毛病。像鹅厂这种，解放了大量南下盘，如果这部分资金判定后续A股的机会比港股好，那么挨完打还捡条命回来，也正常。港股近期确实涨了不少，有回调需求。外盘美股正常回调，议息就在眼前，美元指数稍微拉了一下，从目前市场...全文 ,2023-01-31 08:56
MqHcC8ePp,下午量小了点，全天略超一万亿，北上买了200亿。上证指险些绿了，看贡献度也很清晰，跌的权重和涨的品种完全不同。明天再卷一天，差不多了。  原图 ,2023-01-30 15:04
MqFPDxYur,上午7163亿，快赶上节前最后一天的量了。盘面博弈到11附近，资金就开始买有色和军工这种后发品种了。下午博弈应该没有上午那么厉害，等后发制人的资金慢慢买，然后再看尾盘有多少回封。12000+的话，再封个二三十个票，问题不大吧。明天还要博弈一天，卡点发业绩的发完，后天基本就消停了，内外盘找...全文 ,2023-01-30 11:35
MqFeOzFLY,北向太强了，今天产业逻辑的票，早盘卖出的，都被接走了。这疯P搞法，活久见  ,2023-01-30 10:04
MqEI0nuYx,今天博弈少不了，不确定能一整天都封住的，早盘其实没必要去顶，这种情绪高涨的时候，反向操作的人反而多，早盘不顶，让回场的资金能从容买入，那么后续反而趋势会好一些。要举鼎，就从头举到尾，要不然成嬴荡了。  原图 ,2023-01-30 08:43
MqAznmWEB,明天盘面开盘前一个小时，是和海外市场找平这几天的水差。高开是肯定高开的，板块是否低走，取决于增量资金，整个节假期间，交易意愿是在增加的，且预期也变好不少。顶板搞涨停，那是已经在场内的活跃资金的事。增量资金，尤其是大资金要容量，不涨停的他买，涨停的他不会给你抬轿的。所以，体现在盘...全文 ,2023-01-29 22:11
Mqz5UfMhI,房地产的问题，要进行区分，土地和房产不是一回事，房产和股票又不是一回事，三者不区分开，讨论不清楚。从我们的土地政策来看，真的全面流转，短时间还看不到，个人想买地很难。但是通过法人参与一些旧改或者是园区尤其是文创以及各式小镇的通道还是有的，只不过回报很难拍，纯粹配置视角吧。以往聊...全文 ,2023-01-29 18:25
MqvqbFbus,"转发理由://@吕健中:我靠//@傅_亚_雨://@李璇R9://@51dan:握草 //@无心简影:我也去看了相关推特了，原视频播放超过2000万了，这事情感觉要闹大 查看图片  
原始用户: 马上谈
转发内容: 惊天大新闻！这国内媒体居然没报道？真相工程（Project Veritas）卧底辉瑞公司，并套话辉瑞研发部门主管（视频中这个黑人），他明显聊嗨了：“你千万不要和任何人说，我们自制变种新冠病毒，风险是有的，咱不能一不留神做出个毒性太大的！但是这种风险我们很喜欢！”这段视频被美国媒体曝光，如今辉瑞...全文 ",2023-01-29 09:04
Mqr4JrfNt,春节大A歇业了这些天，消息面还是很多新东西的，稍微捋一下。字数今天肯定超哈，建议有半个小时以上完整时间再点开阅读。从外围股指和A50股指期货以及恒生来看，指数在春节期间都不错。和A股情绪关联度大的中国金龙指数以及恒生科技指数反馈都炒过4%，大A兔年第一个交易日，肯定是高开了。从恒指成分...全文 ,2023-01-28 22:01
MqooR5LFe,节前节后跟长辈和几位老哥拜年。他们讨论的问题不外乎这么几个：1.疫情会怎么样？2.今年GDP及新班子发力方向？3.人口和劳动力结构。4.俄乌和其他地缘问题。5.芯片围堵和进出口。6.优势行业发展潜力还有多大？7.股市今年是结构性机会还是更大的机会？8.房地产减配后好的资产配置机会在哪？9.交...全文 ,2023-01-28 15:12
Mqh1koE6t,I do怎么翻译？大多数翻译是“我愿意”。但我认为，应该翻译成“我做”。你愿意做我老婆吗？这个问题，如果是“我愿意”，那么只是意愿的表达。但如果回答是“我做”，那么态度就坚定很多了。做人、做事、做饭、做功、做爱，重点无不在做字上。愿意不愿意是一回事，做不做是另一回事。愿意成为谁...全文 ,2023-01-27 20:25
MqdqrcyYK,港股这个卖鱼佬，这两天还行。昨天汽车娶大嫂，今天AI认干爹。  ,2023-01-27 11:16
Mq4nAhJ6F,都醒醒，从牌桌酒桌被窝里出来，醒醒。初五都要过完了，港股都开盘了，还不出来干活，今年不打算挣钱了？铁粉牌子先给捡起来挂上，准备开工了！  ,2023-01-26 12:14
Mq3PM5G0C,港股走势不错，尤其汽车走势强劲。特斯拉打价格战，短期利空其他电车，长期利空油车。这个逻辑市场开始接受。消费向也有所反馈，但关键还是看两个交易日后，A股开盘啥情况。  ,2023-01-26 10:51
Mq32E8CBw,分享图片  原图 ,2023-01-26 08:50
MpKScgWW6,从做减法开始聚焦，不赚钱的事，今年不做了。从做清理开始重塑，非双向关系，今年不看了。  ,2023-01-24 10:34
MpEtkiugU,"转发理由:转发微博  
原始用户: 高叶ChLoe
转发内容: 以前，老有人说，我有佛缘…原来，是这个意思…#电视剧狂飙#  [组图共2张] 原图 ",2023-01-23 18:17
MpB14xdp0,突然很兴奋，原来九点半了。晚上有美股可以看了，凑合吧  ,2023-01-23 09:29
MpkUVg4cn,老话里，除夕也叫年关。小孩过年，大人过年关。年关不好过，在现下年景里，不外乎是钱的问题、健康的问题。病来如山倒病去如抽丝，急也没有用，只能慢慢来。钱的事也一样，虎年没赚到，那就兔年多努力。有钱没钱回家过年，既然是在家过年了，那不顺心的事，暂且放下，安安心心把年过好。祝大家...全文 ,2023-01-21 16:30
MpckFio1S,疫后服务业真的一言难尽。海南今年真的人满为患，有人在果岭上自拍，导致球道堵塞。还有初学者把杆打断了，坚持要用铁杆打，导致大堵车。问球场为啥早上不优先排老顾客呢？起码不会堵车，球场经理只一个劲道歉。后来打听，说是连双语球童都跑差不多了。晚上出去走走，看到有人在沙滩放烟花，放完就那...全文 ,2023-01-20 18:38
MpaVgAsN1,提前给大家拜个早年[兔兔拜年]祝大家兔年吉祥，阖家欢乐！[团圆兔]乘5加0，奋勇向前！[财源滚滚][年年有余]  ,2023-01-20 15:03
Mp9cbd5O4,保守外资喜欢消费确定性，保守内资喜欢有色上游前瞻。进取外资喜欢个股成长性，进取内资喜欢基本面加故事。各有千秋  ,2023-01-20 10:39
Mp8Nhd0o0,盘面有点切内资的风格，金融股消费股的表现不如复工复产预期和成长逻辑。正常来说，年后内资主导盘面的概率还是比较大的。  ,2023-01-20 09:38
Mp8vcs8HX,[置顶]再次警示一下：凡属在微博评论区找到你，跟你说他同样是铁粉想拉群，或者干脆冒充博主加你，这种都是诈骗的开始。我本人不会主动加谁，更不会加了谁还推荐股票。按照监管规则要求，我是不会明码推荐任何东西的，推演一下逻辑，整理一下行业跟踪，哔哔一下盘中心得，仅此而已。所以，加你还给你推票...全文 ,2023-01-20 08:53
Mp8eeevnm,今天早上不码了，北向这么狂买，顿时觉得自己好穷。他打show me the money ，咱回答“伐伐伐木工”所以，假就休到这，春节把场外零零碎碎确定跑不过大A的配置处理一下，作为节后备用资金。今天冲板的，问一下自己：节后大家还记得这事吗？配置的也问一下自己：会雷吗？两组问题都回答完，便可以过...全文 ,2023-01-20 08:12
MoZ86gbYy,分享图片  原图 ,2023-01-19 09:02
MoYDluMrz,分享图片  原图 ,2023-01-19 07:46
MoYD4kkgx,今天不码了，简单点：节前要出的资金也就剩今天卖了，所以在等坑加仓的，也就今天加了。如果今天量大也正常。有色我喊过很久了，可以贴合期货来决策。纯资金推动的品种稍微止盈点没啥问题，但主金属我个人不打算动了，节后做复苏的内资总要来的。港股南下通道关闭，看外资怎么搞。北上应该还是继...全文 ,2023-01-19 07:45
MoSpKDe41,朋友转给我看的文，正好前几天也吃过这个瓜，聊五毛钱。中国新能源产业，现在只在供应链领域赢下一局，从上游的锂电到电池，再到汽车零部件。这很像手机链，也是从供应链做起，然后才有后面的华米OV等等。所以守住供应链优势很重要。由于比亚迪是自供，那么车企电池要本土化，只能优先靠宁王。如果核...全文 ,2023-01-18 15:56
MoRQM4JTv,灯下黑在二级市场是分分钟挨打的。老围观的，都应该记得2018还是19年，来找我麻烦的车评人，还在发汽油车广告。我明码告诉他们买点域控制器，哪怕买点ETC都比广告费赚钱。因为推电车，他们是听不进去的。当年我说车架子跑报废，电池都没报废，现在这个技术，不就是换电专用？按说看汽车，他们不比我...全文 ,2023-01-18 14:30
MoRzttIAT,钙钛矿方面，专业水平高的卖方开始跟进了。iEnergy大会后，经人介绍好不容易混到两个大佬的联系方式，想讨教个技术问题。结果人直接问：你们是资本市场的吧，我们现在这个阶段，对单一的投资兴趣不大，希望和光伏企业深度合作blabla估计是被一级的提钱堵门了，对多少多少估值已经免疫了。不...全文 ,2023-01-18 13:47
MoQEmgYxP,仓位滚不动了，要买一个就要卖一个，现金头寸越来越少。真卷不动了，看你们卷吧，把交易量卷出来就好。  ,2023-01-18 11:26
MoQpZBPps,研究完动物，开始研究“达”字辈的  原图 ,2023-01-18 10:51
MoOA07JFX,达沃斯论坛上，鹤总系统性陈诉经济展望、金融体系维持稳定以及继续对外开放的工作框架，同时也说明了对房地产的态度。在多边主义还较为一致的时候，论坛一度是政经界的交流窗口，也是国际资本风向判断的节点。这次论坛的整体情况远不如2017年。不过中美还是会在本次论坛保持工作接触，和耶伦的会谈也会...全文 ,2023-01-18 06:10
MoJV5jxxU,"转发理由:呸！省略140字。  
原始用户: 暴雪中国
转发内容: 暴雪对国服玩家社区的更新说明。  原图 ",2023-01-17 18:18
MoH5fpmJX,"转发理由:外资主导的大盘，如期开始震荡。 接下来几天看内资是做大品种轮动，还是做中小盘扎堆，这一定程度会影响节后的风格。  
原始用户: 唐史主任司马迁
转发内容: 离虎年结束还有4个交易日，按照以往的经验来看，这几天会有节前离场的资金走，周四之前卖出的，周五能证转银。但也有不少仓位不足的资金在等这个机会升仓，博弈之下，市场成交可能会比往年要一些。昨天市场也呈现了放量迹象，主要是内资昨天加仓了，比如证券这种品种，明显就是内资干的。今天看内资整...全文 原图 ",2023-01-17 11:05
MoFOd0fec,离虎年结束还有4个交易日，按照以往的经验来看，这几天会有节前离场的资金走，周四之前卖出的，周五能证转银。但也有不少仓位不足的资金在等这个机会升仓，博弈之下，市场成交可能会比往年要一些。昨天市场也呈现了放量迹象，主要是内资昨天加仓了，比如证券这种品种，明显就是内资干的。今天看内资整...全文 原图 ,2023-01-17 07:50
Moyt9aUE8,耐心+信心，以11月为界，之前是耐心要更多，而之后信心要更足。未来的500个交易日，我们可以看到经济的全面复苏。在这之后，如果我们顶住最后一轮也最大的外部环境压力，维持稳定增长，并且逐一突破封锁点，那么到750个交易日时，我们可以看到动能转换成功带来的高景气。而再向后一年，如果大的地...全文 ,2023-01-16 13:09
MoxjP4dIq,今天看这走法，应该是内资机构加仓了  ,2023-01-16 10:14
Mowk73sna,美日勾兑已经进入临门一脚的状态，本子最近非常跳，欧洲跑一圈，和搅屎棍签了驻军。然后接着去美国搞导弹部署。这些都是本子借G7亚太联盟的框架来突破他的和平宪法，就目前的情况下，其和平宪法的内核已经被掏空了。这种趋势变化的重要节点，从地缘上来说，比半导体封锁还重要。至于半岛提本身，我们只...全文 ,2023-01-16 07:42
MoiYendvg,明天开始休假了，年头年尾的，用一点思考告别过往的一年吧。1.理想主义是非常昂贵的。有社会理想的社会，不管其理想是否达成，都强过不曾有共同理想。2.共识是在实践中取得的，要达成共识的目标群体越广泛，要达成的目标越大，则需要的努力越多，时间越久。3.外部的环境越复杂，内部的合力便要越...全文 ,2023-01-14 21:42
Mo6UIaFNc,周末愉快  ,2023-01-13 15:00
Mo65bCNqp,"转发理由:没编制、不拿钱，少年丧父自强自立创业成功，还热心公益。 我们需要这样的年轻人，能力胜过学历。  
原始用户: 共青团赣州市委
转发内容: 【情况说明】昨日，我委注意到部分网络账号发布或转发我委第五届常务委员会委员李楚彬的有关信息，现将有关情况说明如下： 一、为落实共青团改革要求，团市委于2017年出台了《赣州市共青团改革方案》，其中一项重要举措就是让团的代表大会、委员会更加贴近广大青年，提高基层和一线代表、委员比例。...全文 ",2023-01-13 12:53
