wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N68WVsdhd,https://weibo.cn/comment/N68WVsdhd?uid=7751678845&rl=0#cmtfrm,软件龙头，CPO龙头，算力龙头，早盘还有改写新高的品种。整体已经分化严重！  ,,无,True,无,2023-06-20 09:50,微博网页版,2870,8,40
N68Vt0Y0l,https://weibo.cn/comment/N68Vt0Y0l?uid=7751678845&rl=0#cmtfrm,目前两市是游戏，传媒，充电桩等领先。指数则是小幅度下跌！  ,,无,True,无,2023-06-20 09:47,微博网页版,3154,0,42
N68TDkuwe,https://weibo.cn/comment/N68TDkuwe?uid=7751678845&rl=0#cmtfrm,"转发理由:算力，液冷服务器，CPO，软件等目前明显分化，盘中还有个别改写新高！  
原始用户: 广西小wu
转发内容: 今天指数区间参考3276--3236之间的抉择，热点方面：算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，预计市场会挖掘一些滞涨品种。另外，芯片，封装类科技股还会布局有表现，消息面有刺激的是充电桩板块。收到请回复666  ",无,,False,无,2023-06-20 09:42,微博网页版,2670,1,55
N68SPn4NR,https://weibo.cn/comment/N68SPn4NR?uid=7751678845&rl=0#cmtfrm,科技类股分化已经很严重！  ,,无,True,无,2023-06-20 09:40,微博网页版,2945,2,40
N68Q5FLmz,https://weibo.cn/comment/N68Q5FLmz?uid=7751678845&rl=0#cmtfrm,"转发理由:目前看是芯片（真芯），充电桩板块涨幅领先！  
原始用户: 广西小wu
转发内容: 今天指数区间参考3276--3236之间的抉择，热点方面：算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，预计市场会挖掘一些滞涨品种。另外，芯片，封装类科技股还会布局有表现，消息面有刺激的是充电桩板块。收到请回复666  ",无,,False,无,2023-06-20 09:33,微博网页版,2838,1,81
N68MHDprr,https://weibo.cn/comment/N68MHDprr?uid=7751678845&rl=0#cmtfrm,今天指数区间参考3276--3236之间的抉择，热点方面：算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，预计市场会挖掘一些滞涨品种。另外，芯片，封装类科技股还会布局有表现，消息面有刺激的是充电桩板块。收到请回复666  ,,无,True,无,2023-06-20 09:25,微博网页版,4245,27,548
N68HsifYj,https://weibo.cn/comment/N68HsifYj?uid=7751678845&rl=0#cmtfrm,所有人，集合，集合，集合！  ,,无,True,无,2023-06-20 09:12,微博网页版,3607,2,208
N68Hm4VoV,https://weibo.cn/comment/N68Hm4VoV?uid=7751678845&rl=0#cmtfrm,"转发理由:我们先记录下来，等待检验。  
原始用户: 广西小wu
转发内容: 6月19日美银分析师Michael Hartnett认为，美股难逃大跌，当前就如2000年和2008年，暴涨之后将是暴跌……可信不？  ",无,,False,无,2023-06-20 09:12,微博网页版,2798,21,94
N68zZyOaI,https://weibo.cn/comment/N68zZyOaI?uid=7751678845&rl=0#cmtfrm,"转发理由:你属于哪种？  
原始用户: wu2198
转发内容: 母弱出商贾，父强做侍郎，族望留原籍，家贫走他乡……你属于哪种？  ",无,,False,无,2023-06-20 08:54,无,2882,22,196
N68972Lfo,https://weibo.cn/comment/N68972Lfo?uid=7751678845&rl=0#cmtfrm,所有人早安，已起床的点赞应一声…………祝愿点赞和回帖的朋友们，炒股大赚，合家安康，心想事成！  ,,无,True,无,2023-06-20 07:47,无,4290,5,393
